,Ranking,Move,Country,Player,Age,Points,Tourn Played,Points Dropping,Next Best,Turned Pro,index,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,1,,,Rafael Nadal,33,9985,17,0,0,2001,0,271,118,65%,76%,60%,231,68%,737,90%,70%,35%,56%,556,45%,715,35%,42%,56%
1,2,,,Novak Djokovic,32,9145,17,90,0,2003,0,373,166,66%,76%,57%,282,64%,825,88%,69%,34%,54%,516,49%,796,32%,42%,55%
2,3,,,Roger Federer,38,6590,17,0,0,1998,0,481,100,65%,78%,59%,244,71%,815,91%,72%,32%,50%,507,41%,809,25%,39%,55%
3,4,,,Dominic Thiem,26,5825,22,0,0,2011,0,314,138,66%,73%,55%,352,62%,827,84%,67%,29%,51%,466,41%,823,23%,37%,52%
4,5,,,Daniil Medvedev,23,5705,24,0,0,2014,0,690,254,60%,76%,55%,394,61%,963,84%,67%,31%,56%,622,43%,963,28%,40%,53%
5,6,,,Stefanos Tsitsipas,21,5300,27,0,0,2016,0,560,174,64%,76%,53%,437,65%,1050,85%,68%,29%,47%,555,36%,1028,20%,36%,52%
6,7,,,Alexander Zverev,22,3345,24,0,0,2013,0,709,392,67%,75%,44%,434,59%,867,80%,65%,32%,51%,563,38%,864,25%,39%,51%
7,8,,,Matteo Berrettini,23,2870,26,0,0,2015,0,578,142,61%,78%,54%,340,69%,829,87%,69%,27%,47%,395,37%,828,18%,35%,51%
8,9,,,Roberto Bautista Agut,31,2540,23,250,45,2005,0,239,104,66%,73%,56%,313,60%,807,84%,67%,29%,54%,485,40%,796,24%,39%,52%
9,10,,,Gael Monfils,33,2530,21,0,0,2004,0,372,219,65%,72%,50%,362,64%,718,82%,64%,32%,50%,462,41%,700,27%,39%,52%
10,11,,,David Goffin,29,2335,27,0,0,2009,0,371,179,59%,72%,50%,360,56%,724,78%,63%,32%,52%,487,42%,728,28%,40%,51%
11,12,,,Fabio Fognini,32,2290,24,45,0,2004,0,207,191,60%,69%,48%,417,58%,652,73%,61%,31%,51%,392,44%,651,26%,39%,50%
12,13,,,Kei Nishikori,30,2180,16,250,0,2007,0,132,119,64%,70%,53%,300,59%,607,80%,64%,32%,55%,416,42%,613,28%,41%,52%
13,14,,,Diego Schwartzman,27,2125,25,90,45,2010,0,128,183,65%,67%,51%,460,58%,786,75%,62%,33%,56%,590,42%,796,31%,42%,52%
14,15,,,Denis Shapovalov,20,2050,26,0,0,2017,0,456,242,60%,76%,52%,314,65%,694,84%,67%,29%,47%,343,38%,690,19%,36%,51%
15,16,,,Stan Wawrinka,34,2000,20,45,0,2002,0,510,96,59%,76%,55%,336,71%,729,86%,68%,28%,47%,367,37%,717,19%,35%,51%
16,17,,,Karen Khachanov,23,1840,26,0,0,2013,0,403,168,62%,73%,52%,362,64%,716,82%,65%,28%,49%,360,39%,721,20%,36%,50%
17,18,,,Alex de Minaur,20,1775,23,250,0,2015,0,224,135,61%,74%,55%,271,59%,685,84%,67%,30%,50%,384,42%,689,23%,38%,52%
18,19,,,John Isner,34,1770,20,0,0,2007,0,1032,84,71%,81%,57%,139,73%,642,94%,74%,22%,42%,209,29%,639,10%,29%,51%
19,20,,,Grigor Dimitrov,28,1747,22,45,0,2008,0,316,179,63%,75%,50%,296,62%,618,82%,65%,29%,50%,344,41%,611,23%,37%,51%
20,21,,,Felix Auger-Aliassime,19,1636,25,0,0,2017,0,475,247,65%,75%,49%,334,64%,647,81%,66%,28%,48%,306,41%,641,19%,35%,51%
21,22,,,Lucas Pouille,25,1600,23,0,0,2012,0,303,154,59%,73%,53%,284,63%,585,82%,65%,26%,47%,267,37%,573,17%,34%,50%
22,23,,,Andrey Rublev,22,1584,25,0,0,2014,0,322,166,59%,74%,51%,312,61%,636,81%,64%,29%,55%,438,37%,641,25%,39%,52%
23,24,,,Benoit Paire,30,1538,33,0,0,2007,0,606,410,52%,78%,46%,449,62%,791,78%,62%,31%,49%,465,38%,795,22%,38%,50%
24,25,,,Guido Pella,29,1530,27,0,0,2007,0,283,125,66%,68%,53%,461,64%,761,78%,63%,29%,53%,465,37%,760,23%,38%,51%
25,26,,,Nikoloz Basilashvili,27,1450,25,0,0,2008,0,285,302,58%,69%,51%,423,60%,707,76%,61%,30%,50%,395,42%,707,23%,38%,50%
26,27,,,Pablo Carreno Busta,28,1422,23,45,0,2009,0,234,95,68%,71%,53%,341,69%,659,84%,65%,26%,54%,388,38%,662,22%,37%,51%
27,28,,,Borna Coric,23,1415,23,0,0,2013,0,357,119,63%,74%,53%,306,64%,652,83%,66%,28%,48%,331,37%,653,19%,36%,51%
28,29,,,Jo-Wilfried Tsonga,34,1410,25,90,20,2004,0,537,115,61%,80%,52%,251,67%,617,87%,69%,28%,47%,273,41%,619,18%,35%,52%
29,30,,,Nick Kyrgios,24,1395,19,20,0,2013,0,597,120,66%,79%,50%,172,66%,479,88%,69%,21%,43%,143,45%,487,13%,29%,50%
30,31,,,Milos Raonic,29,1350,19,45,0,2008,0,697,129,63%,84%,57%,118,69%,486,92%,73%,27%,45%,214,31%,477,14%,34%,53%
31,32,,,Taylor Fritz,22,1315,30,0,0,2015,0,536,137,59%,77%,51%,286,61%,704,84%,66%,24%,48%,299,34%,693,15%,33%,50%
32,33,,,Cristian Garin,23,1297,26,12,0,2011,0,232,132,61%,71%,51%,390,65%,633,78%,63%,29%,49%,351,40%,633,22%,37%,50%
33,34,,,Dusan Lajovic,29,1296,28,45,0,2007,0,157,77,69%,67%,51%,344,60%,563,76%,62%,29%,50%,305,43%,569,23%,37%,50%
34,35,,,Jan-Lennard Struff,29,1245,27,90,45,2009,0,668,170,56%,79%,52%,320,64%,765,85%,67%,28%,50%,400,38%,772,19%,36%,51%
35,36,,,Reilly Opelka,22,1243,24,32,16,2015,0,1014,152,64%,81%,54%,180,66%,675,91%,71%,21%,41%,226,29%,663,10%,28%,50%
36,37,,,Hubert Hurkacz,22,1198,28,80,10,2015,0,356,141,65%,73%,52%,302,65%,608,83%,66%,27%,47%,278,38%,599,18%,35%,50%
37,38,,,Laslo Djere,24,1171,24,26,0,2013,0,229,128,61%,70%,50%,294,59%,518,77%,62%,29%,48%,290,36%,519,20%,36%,49%
38,39,,,Marin Cilic,31,1165,20,0,0,2005,0,396,205,58%,77%,48%,286,65%,564,82%,65%,27%,49%,291,35%,556,18%,36%,51%
39,40,,,Filip Krajinovic,27,1148,20,0,0,2008,0,231,67,66%,70%,52%,323,61%,587,79%,64%,31%,52%,363,42%,590,26%,39%,51%
40,41,,,Albert Ramos-Vinolas,31,1130,32,0,0,2007,0,154,98,63%,69%,53%,333,63%,589,79%,63%,30%,50%,340,44%,599,25%,38%,50%
